seed,case,mode,mutant,strategy,detected,durationMs,reportedFuzzRuns,firstFailureRun
18,cursor,broad,true,0,true,24.934715000000324,131,132
18,cursor,boundaries,false,4,false,31.04063700000006,256,
18,cursor,boundaries,true,4,true,26.164033000000018,17,18
18,cursor,jev,false,2,false,24.733095000000503,256,
18,cursor,jev,true,2,true,24.942269999999553,17,18
19,clamp,boundaries,false,4,false,24.41287099999954,256,
19,clamp,boundaries,true,4,true,21.6341139999995,3,4
19,clamp,jev,false,2,false,27.19899400000031,256,
19,clamp,jev,true,2,true,22.202285000000302,3,4
19,clamp,broad,false,0,false,23.282569999999396,256,
19,clamp,broad,true,0,false,23.208542000000307,256,
19,pages,boundaries,false,4,false,24.02692399999978,256,
19,pages,boundaries,true,4,true,23.193121999999676,2,3
19,pages,jev,false,2,false,24.291573000000426,256,
19,pages,jev,true,2,true,21.468620999999985,2,3
19,pages,broad,false,0,false,23.137769000000844,256,
19,pages,broad,true,0,true,23.279896000000008,212,213
19,cursor,boundaries,false,4,false,24.620232999999644,256,
19,cursor,boundaries,true,4,true,28.320679000000382,3,4
19,cursor,jev,false,2,false,25.395665000000008,256,
19,cursor,jev,true,2,true,24.180734999999913,3,4
19,cursor,broad,false,0,false,24.439581999999064,256,
19,cursor,broad,true,0,false,25.291477999999188,256,
20,clamp,jev,false,2,false,23.918900000000576,256,
20,clamp,jev,true,2,true,21.871610999998666,5,6
20,clamp,broad,false,0,false,25.28113900000062,256,
20,clamp,broad,true,0,false,29.763969999999972,256,
20,clamp,boundaries,false,4,false,25.515991000000213,256,
20,clamp,boundaries,true,4,true,24.268770999999106,5,6
20,pages,jev,false,2,false,25.32847699999911,256,
20,pages,jev,true,2,true,23.23255699999936,37,38
20,pages,broad,false,0,false,23.84210499999972,256,
20,pages,broad,true,0,false,25.127880000000005,256,
20,pages,boundaries,false,4,false,24.48761200000081,256,
20,pages,boundaries,true,4,true,23.555295000000115,94,95
20,cursor,jev,false,2,false,29.248838000001342,256,
20,cursor,jev,true,2,true,24.712907999999516,5,6
20,cursor,broad,false,0,false,23.65809900000022,256,
20,cursor,broad,true,0,false,26.263942000001407,256,
20,cursor,boundaries,false,4,false,23.88571800000136,256,
20,cursor,boundaries,true,4,true,23.297018999999636,5,6
